"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description",Título,Descripción,"Categorías relacionadas","Forma de contacto con el centro"
471,"Servicio público disponible",published,"2020-03-21 17:43:37","2020-03-21 21:08:35","2020-03-21 17:41:35",,,,,,"Mercado Municipal de Jesús del Gran Poder","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias, Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","915 001 202"
472,"Servicio público disponible",published,"2020-03-21 17:43:48","2020-03-21 21:08:39","2020-03-21 17:39:56",,,,,,"Mercado Municipal de Vallehermoso","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","914 475 467"
474,"Servicio público disponible",published,"2020-03-21 17:46:30","2020-03-21 21:08:47","2020-03-21 17:40:02",,,,,,"Servicio de reparación urgente de bicis, patinetes, VMP","Vici de Bici. Taller de bicis y vehículos urbanos ofrece para todos los profesionales obligados a trabajar, servicio de reparación urgente de sus vehículos. Los sanitari@s y Fuerzas del Estado tienen la mano de obra gratis. No se permite el acceso al taller. Se recoge el vehículo en la puerta. Sólo para vehículos para transporte de usuarios (No ocio). No se permite venta de productos. Solicitar atención urgente vía Whatsapp 626411986 o mail vicidbici@gmail.com
Más info en: https://www.facebook.com/185926254873872/posts/1895049920628155/","Atención/Cuidados,Otros,Comercio de Proximidad","626411986 y vicidbici@gmail.com"
476,"Servicio público disponible",published,"2020-03-21 17:49:18","2020-03-21 21:09:41","2020-03-21 17:43:42",,,,,,"Mercado Municipal de San Isidro","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias, Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","915 001 202"
477,"Servicio público disponible",published,"2020-03-21 17:49:31","2020-03-21 21:09:44","2020-03-21 18:00:46",,,,,,"Frutería El Huertico","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914357830
479,"Servicio público disponible",published,"2020-03-21 17:51:05","2020-03-21 21:09:57","2020-03-21 17:49:44",,,,,,"Mercado Municipal de Puerta Bonita","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias, Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","914 629 811"
480,"Servicio público disponible",published,"2020-03-21 17:52:00","2020-03-21 21:10:02","2020-03-21 17:45:14",,,,,,"Mercado Municipal de Argüelles","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","915 443 015"
481,"Servicio público disponible",published,"2020-03-21 17:53:37","2020-03-21 21:10:09","2020-03-21 18:01:48",,,,,,"Comercio electricista Don Bombilla","Comercio de proximidad abierto y a tu servicio. Electricista. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Comercio de Proximidad",914314330
482,"Servicio público disponible",published,"2020-03-21 17:54:38","2020-03-21 21:10:14","2020-03-21 18:06:02",,,,,,"Comercio Mini Market Sanabria","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914312535
483,"Servicio público disponible",published,"2020-03-21 17:56:17","2020-03-21 21:10:18","2020-03-21 18:06:55",,,,,,"Carnicería Lalo","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915763377
484,"Servicio público disponible",published,"2020-03-21 17:56:42","2020-03-21 21:10:22","2020-03-21 17:53:45",,,,,,"Mercado Municipal de Valdezarza","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","913 737 044"
485,"Servicio público disponible",published,"2020-03-21 17:57:06","2020-03-21 21:10:28","2020-03-21 18:08:33",,,,,,"Panadería La Tahona de Ayala","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914356813
486,"Servicio público disponible",published,"2020-03-21 17:57:53","2020-03-21 21:10:35","2020-03-21 18:09:22",,,,,,"Comercio Vinoteca Tierra","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Comercio de Proximidad",629213541
487,"Servicio público disponible",published,"2020-03-21 17:59:02","2020-03-21 21:10:40","2020-03-21 18:10:10",,,,,,"Charcutería Álvarez Selección","Comercio de proximidad abierto y a tu servicio. Charcutería y quesos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915764545
488,"Servicio público disponible",published,"2020-03-21 17:59:46","2020-03-21 18:09:07","2020-03-21 17:50:52",,,,,,"A Salto de Mata","Alimentación especializada. Productos sin gluten, productos ecológicos y de limpieza y cuidados- Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario:  De Lunes a Viernes de 10:00 a 20:30. Sábado; 10:00 a 14:30","Comercio de Proximidad",915304428
489,"Servicio público disponible",published,"2020-03-21 17:59:54","2020-03-21 21:12:42","2020-03-21 18:11:19",,,,,,"Frutas MariCarmen","Comercio de proximidad abierto y a tu servicio. Frutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible.","Alimentación,Comercio de Proximidad",914350490
491,"Servicio público disponible",published,"2020-03-21 18:01:50","2020-03-21 21:10:48","2020-03-21 18:13:13",,,,,,"Frutería El Abuelo Pedro","Comercio de proximidad abierto y a tu servicio. Frutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915759081
493,"Servicio público disponible",published,"2020-03-21 18:02:45","2020-03-21 21:11:01","2020-03-21 18:14:06",,,,,,"Frutería La Cazuela Verde","Comercio de proximidad abierto y a tu servicio. Frutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914350494
494,"Servicio público disponible",published,"2020-03-21 18:03:46","2020-03-21 21:12:44","2020-03-21 18:15:01",,,,,,"Pescadería Oñate","Comercio de proximidad abierto y a tu servicio. Pescadería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915755735
497,"Servicio público disponible",published,"2020-03-21 18:05:57","2020-03-21 18:09:07","2020-03-21 18:17:01",,,,,,"Comercio La Alacena del Gourmet","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915750772
498,"Servicio público disponible",published,"2020-03-21 18:06:44","2020-03-21 18:13:15","2020-03-21 18:18:14",,,,,,"La Charcutería de Octavio","Comercio de proximidad abierto y a tu servicio. Charcutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",913300288
499,"Servicio público disponible",published,"2020-03-21 18:07:37","2020-03-21 18:12:41","2020-03-21 18:19:04",,,,,,"Frutería La Flor de San Antón","Comercio de proximidad abierto y a tu servicio. Frutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible.","Alimentación,Comercio de Proximidad",913300278
502,"Servicio público disponible",published,"2020-03-21 18:11:14","2020-03-21 18:14:05","2020-03-21 18:03:46",,,,,,Tomatomates,"Productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario: De Lunes a Viernes de 10:00  a 13:30 y de 17:00 a 19:30.  Sábado de 11:00 a 13:30. Domingo Cerrados
http://www.tomatomates.es/","Comercio de Proximidad","hola@tomatomates.es; 91 246 60 00"
503,"Servicio público disponible",published,"2020-03-21 18:11:44","2020-03-21 19:11:28","2020-03-21 18:06:17",,,,,,"Mercado Municipal de Alto de Extremadura","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","914 794 751"
504,"Servicio público disponible",published,"2020-03-21 18:14:39","2020-03-21 18:14:59","2020-03-21 18:26:03",,,,,,"Comercio Pollería Alian","Comercio de proximidad abierto y a tu servicio. Aves y huevos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",913300275
505,"Servicio público disponible",published,"2020-03-21 18:15:41","2020-03-21 18:23:50","2020-03-21 18:27:02",,,,,,"Pescadería La Casa del Bacalao","Comercio de proximidad abierto y a tu servicio. Pescadería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",913300279
506,"Servicio público disponible",published,"2020-03-21 18:16:46","2020-03-21 18:24:08","2020-03-21 18:27:58",,,,,,"Carnicería Lameiro","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",913300282
507,"Servicio público disponible",published,"2020-03-21 18:17:04","2020-03-21 18:24:22","2020-03-21 18:13:08",,,,,,"Minatural. Fruta  y hortaliza ecológica","Productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario: Martes a Viernes de 10:00 a 20:30. Sábados y Domingos de 11:00 a 15:00. Lunes cerrado.","Comercio de Proximidad","697 87 52 42"
508,"Servicio público disponible",published,"2020-03-21 18:17:33","2020-03-21 18:24:32","2020-03-21 18:29:03",,,,,,"Comercio La Trufería","Comercio de proximidad abierto y a tu servicio. Trufas. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",913300276
510,"Servicio público disponible",published,"2020-03-21 18:17:54","2020-03-21 18:51:00","2020-03-21 18:12:55",,,,,,"Mercado Municipal de las Águilas","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","915 095 343"
512,"Servicio público disponible",published,"2020-03-21 18:19:31","2020-03-21 18:25:50","2020-03-21 18:30:50",,,,,,"Comercio Casa Alberto","Comercio de proximidad abierto y a tu servicio. Frutas y verduras.  Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",636544415
513,"Servicio público disponible",published,"2020-03-21 18:21:37","2020-03-21 18:27:22","2020-03-21 18:32:55",,,,,,"Frutería A dos manzanas","Comercio de proximidad abierto y a tu servicio. Frutas y verduras. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: hola@adosmanzanas.es","Alimentación,Comercio de Proximidad",652916170
514,"Servicio público disponible",published,"2020-03-21 18:22:22","2020-03-21 18:27:08","2020-03-21 18:17:32",,,,,,"La Huerta de Amparo (ecológicos a domicilio)","Productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. De Lunes a Viernes de 9:30 a 14:00  y de 17:00 a 20:30. Sábado de 9:30 a 14:00","Comercio de Proximidad",info@lahuertadeamparo.com
515,"Servicio público disponible",published,"2020-03-21 18:23:39","2020-03-21 18:27:43","2020-03-21 18:34:37",,,,,,"Frutería Fruta en Casa","Comercio de proximidad abierto y a tu servicio. Frutas y verduras. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: frutaencasabarcelo@gmail.com","Alimentación,Comercio de Proximidad",646653482
516,"Servicio público disponible",published,"2020-03-21 18:24:47","2020-03-21 18:27:51","2020-03-21 18:36:19",,,,,,"Comercio La Cocina de Seve","Comercio de proximidad abierto y a tu servicio. Comida a domicilio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: info@lacocinadeseve.com","Alimentación,Comercio de Proximidad",635663981
517,"Servicio público disponible",published,"2020-03-21 18:25:49","2020-03-21 18:28:29","2020-03-21 18:37:05",,,,,,"Comercio El Templo Vegano","Comercio de proximidad abierto y a tu servicio. Comida vegana. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: info@eltemplovegano.com","Alimentación,Comercio de Proximidad",635663981
518,"Servicio público disponible",published,"2020-03-21 18:26:58","2020-03-21 18:31:28","2020-03-21 18:38:08",,,,,,"Frutería La Huerta de Barceló","Comercio de proximidad abierto y a tu servicio. Frutas y verduras.  Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: lahuertadebarcelo@gmail.com","Alimentación,Comercio de Proximidad",914450846
519,"Servicio público disponible",published,"2020-03-21 18:27:55","2020-03-21 18:31:56","2020-03-21 18:39:15",,,,,,"Frutería Entre col y col Madrid","Comercio de proximidad abierto y a tu servicio. Frutas y verduras. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: entrecolycolmadrid@hotmail.com","Alimentación,Comercio de Proximidad",606354900
520,"Servicio público disponible",published,"2020-03-21 18:28:24","2020-03-21 18:34:44","2020-03-21 18:24:00",,,,,,"Verde Organic & Natura Food Se (A domicilio)","Productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario; De 8:00 a 21:30 de Lunes a Sábado. Domingo de 9:00 a 15:00.
https://www.veride.es/inicio","Alimentación,Comercio de Proximidad","santaengracia@veride.es; 914 47 59 00"
522,"Servicio público disponible",published,"2020-03-21 18:29:41","2020-03-21 19:31:39","2020-03-21 18:40:12",,,,,,"Comercio Serrín Ultramarinos","Comercio de proximidad abierto y a tu servicio. Ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",653261424
523,"Servicio público disponible",published,"2020-03-21 18:30:36","2020-03-21 18:35:28","2020-03-21 18:42:01",,,,,,"Comercio La Despensa de La Mancha","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",665854006
524,"Servicio público disponible",published,"2020-03-21 18:31:41","2020-03-21 18:35:13","2020-03-21 18:42:53",,,,,,"Frutería Jesús y Carmen","Comercio de proximidad abierto y a tu servicio. Frutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915527121
526,"Servicio público disponible",published,"2020-03-21 18:32:28","2020-03-22 07:52:10","2020-03-21 18:43:58",,,,,,"Carnicería Benito","Comercio de proximidad abierto y a tu servicio. Carnicería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915517118
528,"Servicio público disponible",published,"2020-03-21 18:33:17","2020-03-21 19:33:35","2020-03-21 18:30:10",,,,,,"Semillando Sotillo (A domicilio)","Productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio.Horario; De Luneas a Viernes de 10:00 a 14:00 y de 17:00 a 20:30 .Sábado de 10:00 a 14:00.Domingos cerrados.
http://www.tiendaecologicaenmadrid.com/es/","Comercio de Proximidad","640 36 79 12; semillandosotillo@gmail.com"
529,"Servicio público disponible",published,"2020-03-21 18:33:39","2020-03-21 19:34:12","2020-03-21 18:45:04",,,,,,"La Charcutería de Javi","Comercio de proximidad abierto y a tu servicio. Charcutería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",617225409
530,"Servicio público disponible",published,"2020-03-21 18:34:38","2020-03-21 19:34:42","2020-03-21 18:46:00",,,,,,"Ultramarinos Bodegón del Sabor","Comercio de proximidad abierto y a tu servicio. Ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",637547886
531,"Servicio público disponible",published,"2020-03-21 18:35:32","2020-03-21 19:35:06","2020-03-21 18:46:57",,,,,,"Comercio Pollería Manolo","Comercio de proximidad abierto y a tu servicio. Aves y huevos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",606068887
532,"Servicio público disponible",published,"2020-03-21 18:37:01","2020-03-21 18:45:12","2020-03-21 18:18:35",,,,,,"Mercado Municipal Tirso de Molina","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.","Alimentación,Comercio de Proximidad","914 645 235"
533,"Servicio público disponible",published,"2020-03-21 18:37:05","2020-03-21 19:35:56","2020-03-21 18:48:33",,,,,,"Carnicería Picos de Europa","Comercio de proximidad abierto y a tu servicio. Carnicería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",637283700
534,"Servicio público disponible",published,"2020-03-21 18:38:02","2020-03-21 19:36:49","2020-03-21 18:49:34",,,,,,"Pescadería Pescados Basi","Comercio de proximidad abierto y a tu servicio. Pescadería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",671489993
535,"Servicio público disponible",published,"2020-03-21 18:39:55","2020-03-21 19:37:04","2020-03-21 18:50:57",,,,,,"Carnicería Jose","Comercio de proximidad abierto y a tu servicio. Carnicería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914761058
536,"Servicio público disponible",published,"2020-03-21 18:41:08","2020-03-21 19:39:00","2020-03-21 18:52:32",,,,,,"Carnicería Gonzalo","Comercio de proximidad abierto y a tu servicio. Carnicería. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",655846921
